term,count
616.21,19
616.891,19
617.95,19
620.3,19
621.3841,19
625.7,19
631.7,19
6482,19
658.872,19
700.9,19
701.18,19
702,19
708.4,19
709.43,19
731,19
741.5973,19
784.2,19
808.81,19
809.89282,19
809.93,19
810.8,19
822.309,19
822.4,19
843.9,19
869.2,19
891.433,19
910.02,19
913.363,19
914.8,19
916.75,19
919,19
930.16,19
937.05,19
949.50,19
954.02,19
956.9304,19
973.917,19
0022,18
009172,18
00938,18
015195,18
016.822,18
016.912,18
0194,18
0202,18
0871,18
090511,18
09411,18
102,18
1042,18
136.7354,18
137.8,18
152.3,18
184.1,18
220.4,18
264.02,18
292.3,18
2995,18
304,18
326,18
342.085,18
342.41,18
346.092,18
362.8,18
384.3,18
405,18
4071,18
423.1,18
472,18
500.1,18
505,18
510.8,18
511.8,18
5113,18
516.57,18
519.9,18
531.3,18
535.8,18
537.12,18
537.622,18
539.77,18
540.1,18
562,18
5694,18
570.285,18
572.9,18
593.1,18
60973,18
610.69,18
612.1,18
621.406,18
658.4063,18
660.284,18
704.948,18
709.44,18
720.943,18
720.973,18
778,18
786.1,18
791.430973,18
791.436,18
808.04,18
808.82,18
821.09,18
821.47,18
823.9,18
831.6,18
832.912,18
839.0,18
839.72,18
848.91,18
863.6,18
873.1,18
891.72,18
909.8,18
910.9,18
913.36,18
914.15,18
916.2,18
916.69,18
916.76,18
929.6,18
936.302,18
938.0072,18
939.18,18
9469,18
951.249,18
956.04,18
973.92,18
978,18
985,18
001.54,17
004.678,17
00452,17
006.312,17
00913,17
00924,17
00947,17
00968,17
016.96,17
025.2,17
0747471,17
138,17
168,17
181.11,17
226.5,17
268,17
270.4,17
281.5,17
297.6,17
303.482,17
303.483,17
305.420973,17
320.15,17
320.954,17
321.02,17
327.52,17
327.5694,17
330.96,17
342.408,17
343.73,17
346.7303,17
361.2,17
362.87,17
363.72,17
371.42,17
371.7,17
386,17
392.3,17
404.2,17
437.02,17
447.01,17
495.7,17
512.4,17
517.382,17
519.92,17
5209,17
523.6,17
551.22,17
551.31,17
554.2,17
577.27,17
579.8,17
588,17
599.01,17
615.842,17
6164,17
620.112,17
621.35,17
621.6,17
643,17
658.314,17
669.9,17
671.3,17
694,17
704.9482,17
707.4,17
708.9493,17
709.01,17
709.4,17
709.73,17
720.103,17
749.2,17
751.7,17
759.9,17
766,17
782.8,17
799,17
8094,17
813.009,17
820.6,17
825,17
839.726,17
840.81,17
841.1,17
841.105,17
855,17
8924,17
895.109,17
895.63,17
895.635,17
91203,17
914.85,17
917.2,17
927.92,17
928,17
93384,17
939.7,17
939.8,17
942.9,17
945.08,17
945.8,17
968.04,17
968.7,17
968.91,17
972.9,17
001.42,16
001.55,16
00222,16
003.5,16
016.61,16
016.909,16
0188,16
02072,16
030,16
0853,16
08621,16
0915,16
09171,16
09174927,16
0936,16
09498,16
09598,16
09675,16
09689,16
097471,16
1106,16
142.7,16
154.6,16
155.6,16
179.3,16
198.9,16
199.99,16
